humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,skeptic_fraction,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.21666666666666667,0.5933333333333334,0.14333333333333334,0.21,24,6,0.0,0.2,0.0,0.0,3,26,True
300,0.17666666666666667,0.5266666666666666,0.08666666666666667,0.24,19,7,0.0,0.2,0.0,0.0,3,27,False
300,0.11333333333333333,0.43,0.06666666666666667,0.17333333333333334,19,6,0.0,0.2,0.0,0.0,3,28,False
300,0.16,0.5433333333333333,0.10666666666666667,0.18333333333333332,26,5,0.0,0.2,0.0,0.0,3,29,False
300,0.38666666666666666,0.8066666666666666,0.19,0.44666666666666666,43,7,0.0,0.25,0.0,0.0,3,0,True
300,0.28,0.74,0.11666666666666667,0.41,42,5,0.0,0.25,0.0,0.0,3,1,True
300,0.29333333333333333,0.7266666666666667,0.18666666666666668,0.2966666666666667,35,6,0.0,0.25,0.0,0.0,3,2,True
300,0.24,0.6966666666666667,0.15333333333333332,0.23333333333333334,29,6,0.0,0.25,0.0,0.0,3,3,True
300,0.30333333333333334,0.7366666666666667,0.19666666666666666,0.25,30,17,0.0,0.25,0.0,0.0,3,4,True
300,0.2833333333333333,0.7233333333333334,0.14666666666666667,0.38,42,10,0.0,0.25,0.0,0.0,3,5,True
300,0.2966666666666667,0.72,0.16,0.3333333333333333,32,8,0.0,0.25,0.0,0.0,3,6,True
300,0.25,0.6333333333333333,0.16333333333333333,0.25666666666666665,18,6,0.0,0.25,0.0,0.0,3,7,True
300,0.34,0.8033333333333333,0.22,0.2866666666666667,40,7,0.0,0.25,0.0,0.0,3,8,True
300,0.27,0.73,0.16,0.34,29,5,0.0,0.25,0.0,0.0,3,9,True
300,0.2,0.6066666666666667,0.11333333333333333,0.3233333333333333,22,10,0.0,0.25,0.0,0.0,3,10,False
300,0.29,0.76,0.18333333333333332,0.29,27,8,0.0,0.25,0.0,0.0,3,11,True
300,0.30333333333333334,0.8033333333333333,0.21333333333333335,0.29333333333333333,33,7,0.0,0.25,0.0,0.0,3,12,True
300,0.18,0.5666666666666667,0.09,0.31333333333333335,25,5,0.0,0.25,0.0,0.0,3,13,False
300,0.33666666666666667,0.82,0.25666666666666665,0.21333333333333335,40,8,0.0,0.25,0.0,0.0,3,14,True
300,0.27666666666666667,0.7166666666666667,0.17666666666666667,0.3,40,7,0.0,0.25,0.0,0.0,3,15,True
300,0.27666666666666667,0.7133333333333334,0.21333333333333335,0.23,28,8,0.0,0.25,0.0,0.0,3,16,True
300,0.26,0.6466666666666666,0.09666666666666666,0.4533333333333333,34,7,0.0,0.25,0.0,0.0,3,17,True
300,0.30666666666666664,0.7433333333333333,0.21666666666666667,0.22,48,5,0.0,0.25,0.0,0.0,3,18,True
300,0.29,0.7433333333333333,0.18666666666666668,0.3233333333333333,41,7,0.0,0.25,0.0,0.0,3,19,True
300,0.24333333333333335,0.62,0.13666666666666666,0.28,28,4,0.0,0.25,0.0,0.0,3,20,True
300,0.016666666666666666,0.04,0.013333333333333334,0.006666666666666667,4,2,0.0,0.25,0.0,0.0,3,21,False
300,0.21,0.58,0.11333333333333333,0.27666666666666667,24,5,0.0,0.25,0.0,0.0,3,22,True
300,0.4,0.86,0.22,0.39,56,6,0.0,0.25,0.0,0.0,3,23,True
300,0.28,0.7,0.21666666666666667,0.21,30,9,0.0,0.25,0.0,0.0,3,24,True
300,0.4166666666666667,0.8566666666666667,0.24333333333333335,0.3933333333333333,50,6,0.0,0.25,0.0,0.0,3,25,True
300,0.2,0.53,0.11666666666666667,0.23333333333333334,24,3,0.0,0.25,0.0,0.0,3,26,False
